[GEO] Natural Earth 10m Coastline
N008.33.12.723 W061.00.20.470 N008.34.36.219 W060.59.33.155 COLOR_Coastline
N008.34.36.219 W060.59.33.155 N008.36.09.676 W060.59.45.606 COLOR_Coastline
N008.36.09.676 W060.59.45.606 N008.36.14.364 W061.00.13.438 COLOR_Coastline
N008.36.14.364 W061.00.13.438 N008.36.21.249 W061.00.27.794 COLOR_Coastline
N008.36.21.249 W061.00.27.794 N008.36.29.012 W061.00.39.513 COLOR_Coastline
N008.36.29.012 W061.00.39.513 N008.36.36.337 W061.00.59.288 COLOR_Coastline
N009.01.42.489 W060.55.12.999 N009.01.07.479 W060.55.59.727 COLOR_Coastline
N009.01.07.479 W060.55.59.727 N009.00.35.399 W060.56.05.733 COLOR_Coastline
N009.00.35.399 W060.56.05.733 N009.00.03.173 W060.56.01.339 COLOR_Coastline
N009.00.03.173 W060.56.01.339 N008.59.26.258 W060.56.15.548 COLOR_Coastline
N008.59.26.258 W060.56.15.548 N008.58.52.128 W060.56.55.831 COLOR_Coastline
N008.58.52.128 W060.56.55.831 N008.58.23.270 W060.57.40.655 COLOR_Coastline
N008.58.23.270 W060.57.40.655 N008.57.47.967 W060.58.16.837 COLOR_Coastline
N008.57.47.967 W060.58.16.837 N008.55.48.583 W060.58.58.145 COLOR_Coastline
N008.55.48.583 W060.58.58.145 N008.52.49.139 W061.01.00.167 COLOR_Coastline
N008.52.49.139 W061.01.00.167 N008.51.47.469 W061.02.06.964 COLOR_Coastline
N008.51.47.469 W061.02.06.964 N008.49.20.692 W061.05.29.845 COLOR_Coastline
N008.49.20.692 W061.05.29.845 N008.49.41.053 W061.04.03.858 COLOR_Coastline
N008.49.41.053 W061.04.03.858 N008.53.02.176 W060.56.00.899 COLOR_Coastline
N008.53.02.176 W060.56.00.899 N008.54.51.747 W060.53.30.020 COLOR_Coastline
N008.54.51.747 W060.53.30.020 N008.56.28.426 W060.51.53.927 COLOR_Coastline
N008.56.28.426 W060.51.53.927 N008.58.14.335 W060.51.02.950 COLOR_Coastline
N008.58.14.335 W060.51.02.950 N008.59.39.589 W060.51.56.563 COLOR_Coastline
N008.59.39.589 W060.51.56.563 N008.59.40.907 W060.51.33.419 COLOR_Coastline
N008.59.40.907 W060.51.33.419 N009.00.02.001 W060.50.18.126 COLOR_Coastline
N009.00.02.001 W060.50.18.126 N009.00.56.932 W060.51.19.210 COLOR_Coastline
N009.00.56.932 W060.51.19.210 N009.01.40.731 W060.52.31.720 COLOR_Coastline
N009.01.40.731 W060.52.31.720 N009.02.00.214 W060.53.51.261 COLOR_Coastline
N009.02.00.214 W060.53.51.261 N009.01.42.489 W060.55.12.999 COLOR_Coastline
N008.53.26.493 W061.05.07.579 N008.53.35.282 W061.04.37.696 COLOR_Coastline
N008.53.35.282 W061.04.37.696 N008.54.42.372 W061.02.37.725 COLOR_Coastline
N008.54.42.372 W061.02.37.725 N008.55.11.522 W061.02.18.390 COLOR_Coastline
N008.55.11.522 W061.02.18.390 N008.56.23.592 W061.01.55.977 COLOR_Coastline
N008.56.23.592 W061.01.55.977 N008.56.55.233 W061.01.37.520 COLOR_Coastline
N008.56.55.233 W061.01.37.520 N009.01.32.967 W060.56.34.737 COLOR_Coastline
N009.01.32.967 W060.56.34.737 N009.02.12.665 W060.55.37.462 COLOR_Coastline
N009.02.12.665 W060.55.37.462 N009.02.29.364 W060.54.38.575 COLOR_Coastline
N009.02.29.364 W060.54.38.575 N009.02.29.071 W060.53.21.378 COLOR_Coastline
N009.02.29.071 W060.53.21.378 N009.02.37.128 W060.52.32.306 COLOR_Coastline
N009.02.37.128 W060.52.32.306 N009.03.06.278 W060.51.59.640 COLOR_Coastline
N009.03.06.278 W060.51.59.640 N009.04.09.852 W060.51.31.954 COLOR_Coastline
N009.04.09.852 W060.51.31.954 N009.03.43.046 W060.51.31.954 COLOR_Coastline
N009.03.43.046 W060.51.31.954 N009.04.10.731 W060.51.19.210 COLOR_Coastline
N009.04.10.731 W060.51.19.210 N009.04.40.614 W060.51.11.153 COLOR_Coastline
N009.04.40.614 W060.51.11.153 N009.05.12.255 W060.51.07.345 COLOR_Coastline
N009.05.12.255 W060.51.07.345 N009.05.46.092 W060.51.07.345 COLOR_Coastline
N009.05.46.092 W060.51.07.345 N009.04.39.735 W060.54.22.901 COLOR_Coastline
N009.04.39.735 W060.54.22.901 N009.04.32.264 W060.55.50.938 COLOR_Coastline
N009.04.32.264 W060.55.50.938 N009.03.57.987 W060.56.48.800 COLOR_Coastline
N009.03.57.987 W060.56.48.800 N009.01.08.212 W060.59.02.833 COLOR_Coastline
N009.01.08.212 W060.59.02.833 N009.00.02.001 W061.00.08.165 COLOR_Coastline
N009.00.02.001 W061.00.08.165 N008.59.35.048 W061.01.19.649 COLOR_Coastline
N008.59.35.048 W061.01.19.649 N008.59.14.247 W061.02.51.056 COLOR_Coastline
N008.59.14.247 W061.02.51.056 N008.58.43.778 W061.04.09.571 COLOR_Coastline
N008.58.43.778 W061.04.09.571 N008.57.46.649 W061.04.42.677 COLOR_Coastline
N008.57.46.649 W061.04.42.677 N008.56.34.579 W061.05.01.427 COLOR_Coastline
N008.56.34.579 W061.05.01.427 N008.55.12.255 W061.05.34.386 COLOR_Coastline
N008.55.12.255 W061.05.34.386 N008.54.02.089 W061.05.47.716 COLOR_Coastline
N008.54.02.089 W061.05.47.716 N008.53.26.493 W061.05.07.579 COLOR_Coastline
N009.06.59.774 W060.52.23.370 N009.06.37.508 W060.52.23.370 COLOR_Coastline
N009.06.37.508 W060.52.23.370 N009.07.33.319 W060.51.44.845 COLOR_Coastline
N009.07.33.319 W060.51.44.845 N009.08.37.919 W060.51.12.911 COLOR_Coastline
N009.08.37.919 W060.51.12.911 N009.09.46.913 W060.50.50.938 COLOR_Coastline
N009.09.46.913 W060.50.50.938 N009.10.56.493 W060.50.42.735 COLOR_Coastline
